Date,Description,Amount
01/30/2025,Marriott Hotels,-253.12
01/30/2025,DoorDash,-19.37
01/30/2025,Trader Joe's,-87.98
01/31/2025,Amazon.com,-33.28
01/31/2025,PetSmart,-44.07
01/31/2025,Local Bar & Grill,-51.59
02/01/2025,Rent Payment - Sunrise Apartments,-1450.00
02/01/2025,Trader Joe's,-89.05
02/02/2025,ATM Withdrawal,-57.11
02/03/2025,Geico Insurance,-135.27
02/03/2025,PetSmart,-27.74
02/03/2025,REI,-70.48
02/04/2025,Planet Fitness,-24.99
02/05/2025,Netflix.com,-15.49
02/05/2025,Chipotle,-13.49
02/05/2025,Chipotle,-9.30
02/06/2025,Chevron,-36.42
02/07/2025,Spotify USA,-11.99
02/07/2025,Uber,-13.58
02/09/2025,Local Bar & Grill,-24.20
02/09/2025,Amazon.com,-91.05
02/09/2025,Whole Foods Market,-60.26
02/10/2025,Comcast Xfinity,-90.45
02/10/2025,Walgreens,-37.91
02/11/2025,Walgreens,-15.64
02/12/2025,PG&E Electric,-75.43
02/12/2025,Employer Payroll Direct Dep,2650.00
02/12/2025,CVS Pharmacy,-24.92
02/13/2025,Starbucks,-5.04
02/13/2025,DoorDash,-19.98
02/13/2025,Bay Area Rapid Transit,-10.06
02/14/2025,Verizon Wireless,-80.89
02/15/2025,Starbucks,-8.52
02/16/2025,Chevron,-45.95
02/17/2025,CVS Pharmacy,-30.63
02/18/2025,Amazon Prime,-14.99
02/18/2025,Trader Joe's,-68.41
02/18/2025,CVS Pharmacy,-42.47
02/18/2025,DoorDash,-43.35
02/22/2025,NYTimes Subscription,-17.00
02/22/2025,H&M,-43.31
02/22/2025,Bay Area Rapid Transit,-12.18
02/23/2025,Best Buy,-166.46
02/24/2025,Chipotle,-9.55
02/25/2025,Student Loan Servicer,-220.00
02/25/2025,H&M,-27.87
02/26/2025,Employer Payroll Direct Dep,2650.00
02/26/2025,Local Pizza Co,-26.92
02/27/2025,Marriott Hotels,-217.24
02/28/2025,Trader Joe's,-32.27
03/01/2025,Rent Payment - Sunrise Apartments,-1450.00
03/01/2025,Shell Gas Station,-48.64
03/01/2025,Steam Games,-39.13
03/01/2025,Shell Gas Station,-45.74
03/03/2025,Geico Insurance,-136.55
03/03/2025,Whole Foods Market,-78.43
03/04/2025,Planet Fitness,-24.99
03/04/2025,Amazon.com,-103.37
03/05/2025,Netflix.com,-15.49
03/05/2025,Freelance Client Payment,485.25
03/05/2025,Southwest Airlines,-393.46
03/06/2025,Amazon.com,-131.04
03/06/2025,Uber,-32.27
03/07/2025,Spotify USA,-11.99
03/08/2025,Kaiser Permanente Copay,-35.65
03/08/2025,Southwest Airlines,-350.56
03/09/2025,Amazon.com,-47.35
03/09/2025,DoorDash,-28.33
03/09/2025,Whole Foods Market,-75.81
03/10/2025,Comcast Xfinity,-85.93
03/10/2025,ATM Withdrawal,-60.98
03/11/2025,Target,-42.29
03/11/2025,Lyft,-17.97
03/12/2025,PG&E Electric,-66.77
03/12/2025,Employer Payroll Direct Dep,2650.00
03/12/2025,Starbucks,-8.87
03/13/2025,Chase Credit Card Payment,-319.90
03/14/2025,Verizon Wireless,-83.47
03/14/2025,Kaiser Permanente Copay,-38.78
03/14/2025,The Cheesecake Factory,-70.08
03/14/2025,Best Buy,-78.21
03/15/2025,Best Buy,-40.33
03/15/2025,Airbnb,-199.51
03/15/2025,Walgreens,-21.96
03/16/2025,The Cheesecake Factory,-50.41
03/16/2025,Lyft,-15.09
03/16/2025,Airbnb,-120.39
03/17/2025,Lyft,-17.28
03/17/2025,Starbucks,-8.80
03/17/2025,Kaiser Permanente Copay,-32.46
03/18/2025,Amazon Prime,-14.99
03/18/2025,The Cheesecake Factory,-63.79
03/18/2025,CVS Pharmacy,-26.76
03/19/2025,Walgreens,-20.88
03/19/2025,REI,-117.62
03/20/2025,Ticketmaster,-114.50
03/21/2025,CVS Pharmacy,-23.02
03/21/2025,Trader Joe's,-44.75
03/21/2025,Bay Area Rapid Transit,-9.30
03/22/2025,NYTimes Subscription,-17.00
03/22/2025,Walgreens,-22.88
03/22/2025,Marriott Hotels,-234.59
03/23/2025,Chevron,-51.47
03/24/2025,Kaiser Permanente Copay,-21.87
03/25/2025,Student Loan Servicer,-220.00
03/25/2025,Amazon.com,-104.19
03/25/2025,Target,-100.66
03/25/2025,Shell Gas Station,-35.61
03/26/2025,Employer Payroll Direct Dep,2650.00
03/26/2025,Venmo Payment,-54.73
03/27/2025,ATM Withdrawal,-64.87
03/27/2025,Lyft,-24.37
03/28/2025,Local Bar & Grill,-28.54
03/29/2025,Trader Joe's,-83.02
03/29/2025,DoorDash,-39.02
03/30/2025,ATM Withdrawal,-43.01
03/31/2025,The Cheesecake Factory,-53.26
04/01/2025,Rent Payment - Sunrise Apartments,-1450.00
04/01/2025,Walgreens,-38.40
04/01/2025,Marriott Hotels,-225.77
04/02/2025,Chase Credit Card Payment,-328.02
04/02/2025,Marriott Hotels,-265.61
04/03/2025,Geico Insurance,-138.79
04/03/2025,Venmo Payment,-44.25
04/03/2025,Amazon.com,-127.58
04/04/2025,Planet Fitness,-24.99
04/04/2025,PetSmart,-51.34
04/05/2025,Netflix.com,-15.49
04/05/2025,Starbucks,-7.85
04/06/2025,Kaiser Permanente Copay,-26.39
04/07/2025,Spotify USA,-11.99
04/07/2025,Local Pizza Co,-20.11
04/08/2025,Shell Gas Station,-52.66
04/09/2025,Employer Payroll Direct Dep,2650.00
04/10/2025,Comcast Xfinity,-91.19
04/10/2025,ATM Withdrawal,-64.95
04/11/2025,Southwest Airlines,-247.37
04/12/2025,PG&E Electric,-120.32
04/12/2025,Safeway,-98.54
04/12/2025,Ticketmaster,-92.47
04/13/2025,CVS Pharmacy,-35.88
04/13/2025,Southwest Airlines,-284.56
04/13/2025,Target,-68.82
04/14/2025,Verizon Wireless,-80.77
04/14/2025,PetSmart,-21.45
04/15/2025,Local Bar & Grill,-45.35
04/16/2025,Local Pizza Co,-31.73
04/16/2025,Safeway,-102.55
04/17/2025,Safeway,-36.72
04/17/2025,Airbnb,-151.21
04/18/2025,Amazon Prime,-14.99
04/18/2025,Chipotle,-10.56
04/19/2025,ATM Withdrawal,-59.61
04/20/2025,Ticketmaster,-70.61
04/20/2025,Southwest Airlines,-213.07
04/22/2025,NYTimes Subscription,-17.00
04/23/2025,Employer Payroll Direct Dep,2650.00
04/23/2025,AMC Theatres,-17.59
04/25/2025,Student Loan Servicer,-220.00
04/25/2025,Whole Foods Market,-69.03
04/25/2025,Amazon.com,-37.91
04/25/2025,Safeway,-79.71
04/26/2025,Venmo Payment,-58.51
04/27/2025,Bay Area Rapid Transit,-9.65
04/27/2025,Best Buy,-237.06
04/28/2025,The Cheesecake Factory,-66.11
04/29/2025,CVS Pharmacy,-12.00
05/01/2025,Rent Payment - Sunrise Apartments,-1450.00
05/01/2025,Ticketmaster,-83.63
05/02/2025,Starbucks,-7.37
05/02/2025,Amazon.com,-24.27
05/03/2025,Geico Insurance,-137.33
05/03/2025,The Cheesecake Factory,-66.85
05/03/2025,Whole Foods Market,-42.57
05/04/2025,Planet Fitness,-24.99
05/04/2025,Steam Games,-13.45
05/05/2025,Netflix.com,-15.49
05/05/2025,Trader Joe's,-80.22
05/05/2025,PetSmart,-25.28
05/06/2025,ATM Withdrawal,-82.44
05/06/2025,Airbnb,-160.51
05/06/2025,H&M,-65.03
05/07/2025,Spotify USA,-11.99
05/07/2025,Employer Payroll Direct Dep,2650.00
05/07/2025,Venmo Payment,-45.22
05/07/2025,H&M,-45.95
05/07/2025,Amazon.com,-126.30
05/09/2025,Amazon.com,-115.07
05/09/2025,Ticketmaster,-77.00
05/09/2025,PetSmart,-62.55
05/10/2025,Comcast Xfinity,-91.36
05/10/2025,Bay Area Rapid Transit,-8.55
05/11/2025,H&M,-82.22
05/12/2025,PG&E Electric,-85.54
05/12/2025,H&M,-61.13
05/12/2025,Lyft,-11.71
05/13/2025,PetSmart,-47.76
05/13/2025,Amazon.com,-106.69
05/14/2025,Verizon Wireless,-78.70
05/14/2025,PetSmart,-42.41
05/14/2025,Safeway,-37.44
05/15/2025,Amazon.com,-52.87
05/16/2025,Venmo Payment,-50.98
05/16/2025,AMC Theatres,-20.81
05/17/2025,Kaiser Permanente Copay,-27.04
05/17/2025,ATM Withdrawal,-56.25
05/18/2025,Amazon Prime,-14.99
05/18/2025,Freelance Client Payment,268.23
05/18/2025,The Cheesecake Factory,-63.85
05/19/2025,Uber,-16.41
05/20/2025,H&M,-72.10
05/20/2025,REI,-177.27
05/21/2025,Employer Payroll Direct Dep,2650.00
05/21/2025,REI,-71.85
05/21/2025,Uber,-18.95
05/22/2025,NYTimes Subscription,-17.00
05/22/2025,Local Pizza Co,-21.84
05/22/2025,Chipotle,-12.32
05/23/2025,Local Pizza Co,-26.93
05/23/2025,PetSmart,-25.13
05/25/2025,Student Loan Servicer,-220.00
05/25/2025,Venmo Payment,-43.63
05/26/2025,Chipotle,-10.51
05/27/2025,The Cheesecake Factory,-67.88
05/27/2025,Local Bar & Grill,-37.21
05/27/2025,Chipotle,-9.91
05/28/2025,CVS Pharmacy,-11.15
05/28/2025,Amazon.com,-26.58
05/29/2025,Target,-97.57
05/29/2025,Ticketmaster,-89.56
05/30/2025,Freelance Client Payment,342.80
05/30/2025,Freelance Client Payment,329.73
05/30/2025,Airbnb,-190.24
05/31/2025,DoorDash,-43.58
05/31/2025,Bay Area Rapid Transit,-11.26
06/01/2025,Rent Payment - Sunrise Apartments,-1450.00
06/01/2025,Sushi Kama,-30.50
06/02/2025,Starbucks,-5.63
06/03/2025,Geico Insurance,-136.71
06/03/2025,Venmo Payment,-33.93
06/04/2025,Planet Fitness,-24.99
06/04/2025,Employer Payroll Direct Dep,2650.00
06/04/2025,REI,-138.42
06/05/2025,Netflix.com,-15.49
06/05/2025,Target,-112.39
06/06/2025,Lyft,-18.50
06/06/2025,Target,-84.76
06/07/2025,Spotify USA,-11.99
06/07/2025,Shell Gas Station,-36.79
06/07/2025,Chevron,-54.82
06/07/2025,REI,-101.48
06/08/2025,CVS Pharmacy,-33.89
06/09/2025,Chase Credit Card Payment,-361.99
06/09/2025,Marriott Hotels,-151.26
06/09/2025,Whole Foods Market,-77.81
06/10/2025,Comcast Xfinity,-88.79
06/10/2025,Best Buy,-36.98
06/10/2025,Target,-116.19
06/11/2025,Safeway,-109.97
06/11/2025,H&M,-62.46
06/12/2025,PG&E Electric,-129.27
06/12/2025,Uber,-22.82
06/12/2025,Marriott Hotels,-268.25
06/13/2025,Airbnb,-266.00
06/14/2025,Verizon Wireless,-81.40
06/14/2025,Sushi Kama,-41.45
06/15/2025,Walgreens,-29.44
06/16/2025,Kaiser Permanente Copay,-28.23
06/16/2025,PetSmart,-34.41
06/16/2025,Local Bar & Grill,-48.47
06/17/2025,ATM Withdrawal,-45.28
06/17/2025,Best Buy,-117.28
06/18/2025,Amazon Prime,-14.99
06/18/2025,Employer Payroll Direct Dep,2650.00
06/18/2025,Local Bar & Grill,-50.27
06/18/2025,Trader Joe's,-67.75
06/18/2025,ATM Withdrawal,-64.79
06/19/2025,Steam Games,-41.13
06/20/2025,Marriott Hotels,-246.40
06/21/2025,Local Pizza Co,-30.99
06/22/2025,NYTimes Subscription,-17.00
06/22/2025,PetSmart,-26.07
06/23/2025,Amazon.com,-109.37
06/23/2025,CVS Pharmacy,-28.38
06/23/2025,Southwest Airlines,-173.30
06/24/2025,The Cheesecake Factory,-53.46
06/24/2025,The Cheesecake Factory,-60.91
06/24/2025,Shell Gas Station,-47.46
06/25/2025,Student Loan Servicer,-220.00
06/25/2025,Chase Credit Card Payment,-411.62
06/25/2025,Southwest Airlines,-358.68
06/26/2025,Amazon.com,-73.95
06/26/2025,Shell Gas Station,-44.59
06/26/2025,Chase Credit Card Payment,-423.89
06/29/2025,Southwest Airlines,-234.97
06/29/2025,Chase Credit Card Payment,-280.15
